iter	Passed	Remaining
0	137	13590
1	138	6790
2	139	4523
3	141	3391
4	142	2712
5	144	2269
6	146	1945
7	147	1701
8	149	1512
9	150	1358
10	152	1232
11	153	1126
12	155	1037
13	156	961
14	157	895
15	159	839
16	161	789
17	163	743
18	164	702
19	166	664
20	167	631
21	169	600
22	170	571
23	172	545
24	173	521
25	175	499
26	177	478
27	178	459
28	180	442
29	182	425
30	183	409
31	185	394
32	187	379
33	188	366
34	190	353
35	192	341
36	194	330
37	195	319
38	197	308
39	198	298
40	200	288
41	202	279
42	203	270
43	205	261
44	207	253
45	209	245
46	211	238
47	213	230
48	214	223
49	216	216
50	218	209
51	219	203
52	221	196
53	224	190
54	226	185
55	228	179
56	229	173
57	231	167
58	233	162
59	235	156
60	237	151
61	239	146
62	241	141
63	242	136
64	244	131
65	246	126
66	247	122
67	249	117
68	251	113
69	253	108
70	255	104
71	257	99
72	258	95
73	260	91
74	262	87
75	264	83
76	266	79
77	268	75
78	270	72
79	272	68
80	274	64
81	276	60
82	278	57
83	280	53
84	282	49
85	284	46
86	287	42
87	289	39
88	290	35
89	292	32
90	294	29
91	296	25
92	298	22
93	301	19
94	303	15
95	305	12
96	307	9
97	309	6
98	311	3
99	313	0
