medicine_id,snapshot_date,quantity_on_hand,quantity_dispensed,quantity_received,quantity_expired,unit_cost,pay_rate,days_to_expiry
1,2025-12-22,19,1,0,0,82.5,55,155
1,2025-12-23,18,1,0,0,82.5,55,156
1,2025-12-24,17,1,0,0,82.5,55,157
1,2025-12-25,16,1,0,0,82.5,55,158
1,2025-12-26,15,1,0,0,82.5,55,159
1,2025-12-27,15,0,0,0,82.5,55,160
1,2025-12-28,15,0,0,0,82.5,55,161
1,2025-12-29,15,0,0,0,82.5,55,162
1,2025-12-30,14,1,0,0,82.5,55,163
1,2025-12-31,13,1,0,0,82.5,55,164
1,2026-01-01,12,1,0,0,82.5,55,165
1,2026-01-02,11,1,0,0,82.5,55,166
1,2026-01-03,11,0,0,0,82.5,55,167
1,2026-01-04,66,0,55,0,82.5,55,168
1,2026-01-05,65,1,0,0,82.5,55,169
1,2026-01-06,64,1,0,0,82.5,55,170
1,2026-01-07,63,1,0,0,82.5,55,171
1,2026-01-08,62,1,0,0,82.5,55,172
1,2026-01-09,61,1,0,0,82.5,55,173
1,2026-01-10,61,0,0,0,82.5,55,174
1,2026-01-11,91,0,30,0,82.5,55,175
1,2026-01-12,90,1,0,0,82.5,55,176
1,2026-01-13,90,0,0,0,82.5,55,177
1,2026-01-14,89,1,0,0,82.5,55,178
1,2026-01-15,89,0,0,0,82.5,55,179
1,2026-01-16,88,1,0,0,82.5,55,180
1,2026-01-17,128,0,40,0,82.5,55,181
1,2026-01-18,127,1,0,0,82.5,55,182
1,2026-01-19,126,1,0,0,82.5,55,183
1,2026-01-20,125,1,0,0,82.5,55,184
1,2026-01-21,124,1,0,0,82.5,55,185
1,2026-01-22,123,1,0,0,82.5,55,186
1,2026-01-23,123,0,0,0,82.5,55,187
1,2026-01-24,123,0,0,0,82.5,55,188
1,2026-01-25,123,0,0,0,82.5,55,189
1,2026-01-26,122,1,0,0,82.5,55,190
1,2026-01-27,121,1,0,0,82.5,55,191
1,2026-01-28,121,0,0,0,82.5,55,192
1,2026-01-29,120,1,0,0,82.5,55,193
1,2026-01-30,119,1,0,0,82.5,55,194
1,2026-01-31,119,0,0,0,82.5,55,195
1,2026-02-01,119,0,0,0,82.5,55,196
1,2026-02-02,119,0,0,0,82.5,55,197
1,2026-02-03,118,1,0,0,82.5,55,198
1,2026-02-04,117,1,0,0,82.5,55,199
1,2026-02-05,116,1,0,0,82.5,55,200
1,2026-02-06,115,1,0,0,82.5,55,201
1,2026-02-07,115,0,0,0,82.5,55,202
1,2026-02-08,115,0,0,0,82.5,55,203
1,2026-02-09,114,1,0,0,82.5,55,204
1,2026-02-10,113,1,0,0,82.5,55,205
1,2026-02-11,112,1,0,0,82.5,55,206
1,2026-02-12,111,1,0,0,82.5,55,207
1,2026-02-13,110,1,0,0,82.5,55,208
1,2026-02-14,110,0,0,0,82.5,55,209
1,2026-02-15,109,1,0,0,82.5,55,210
1,2026-02-16,108,1,0,0,82.5,55,211
1,2026-02-17,107,1,0,0,82.5,55,212
1,2026-02-18,106,1,0,0,82.5,55,213
1,2026-02-19,105,1,0,0,82.5,55,214
1,2026-02-20,104,1,0,0,82.5,55,215
1,2026-02-21,104,0,0,0,82.5,55,216
1,2026-02-22,104,0,0,0,82.5,55,217
1,2026-02-23,104,0,0,0,82.5,55,218
1,2026-02-24,104,0,0,0,82.5,55,219
1,2026-02-25,103,1,0,0,82.5,55,220
1,2026-02-26,150,1,48,0,82.5,55,221
1,2026-02-27,150,0,0,0,82.5,55,222
1,2026-02-28,150,0,0,0,82.5,55,223
1,2026-03-01,150,0,0,0,82.5,55,224
1,2026-03-02,149,1,0,0,82.5,55,225
1,2026-03-03,172,1,24,0,82.5,55,226
1,2026-03-04,171,1,0,0,82.5,55,227
1,2026-03-05,170,1,0,0,82.5,55,228
1,2026-03-06,169,1,0,0,82.5,55,229
1,2026-03-07,169,0,0,0,82.5,55,230
1,2026-03-08,169,0,0,0,82.5,55,231
1,2026-03-09,168,1,0,0,82.5,55,232
1,2026-03-10,167,1,0,0,82.5,55,233
1,2026-03-11,166,1,0,0,82.5,55,234
1,2026-03-12,165,1,0,0,82.5,55,235
1,2026-03-13,164,1,0,0,82.5,55,236
1,2026-03-14,164,0,0,0,82.5,55,237
1,2026-03-15,163,1,0,0,82.5,55,238
1,2026-03-16,162,1,0,0,82.5,55,239
1,2026-03-17,161,1,0,0,82.5,55,240
1,2026-03-18,160,1,0,0,82.5,55,241
1,2026-03-19,159,1,0,0,82.5,55,242
1,2026-03-20,158,1,0,0,82.5,55,243
1,2026-03-21,212,1,55,0,82.5,55,244
2,2025-12-22,19,1,0,0,128.0,80,211
2,2025-12-23,17,2,0,0,128.0,80,212
2,2025-12-24,16,1,0,0,128.0,80,213
2,2025-12-25,14,2,0,0,128.0,80,214
2,2025-12-26,13,1,0,0,128.0,80,215
2,2025-12-27,12,1,0,0,128.0,80,216
2,2025-12-28,11,1,0,0,128.0,80,217
2,2025-12-29,9,2,0,0,128.0,80,218
2,2025-12-30,8,1,0,0,128.0,80,219
2,2025-12-31,30,1,23,0,128.0,80,220
2,2026-01-01,28,2,0,0,128.0,80,221
2,2026-01-02,26,2,0,0,128.0,80,222
2,2026-01-03,25,1,0,0,128.0,80,223
2,2026-01-04,24,1,0,0,128.0,80,224
2,2026-01-05,22,2,0,0,128.0,80,225
2,2026-01-06,20,2,0,0,128.0,80,226
2,2026-01-07,19,1,0,0,128.0,80,227
2,2026-01-08,18,1,0,0,128.0,80,228
2,2026-01-09,16,2,0,0,128.0,80,229
2,2026-01-10,15,1,0,0,128.0,80,230
2,2026-01-11,14,1,0,0,128.0,80,231
2,2026-01-12,12,2,0,0,128.0,80,232
2,2026-01-13,11,1,0,0,128.0,80,233
2,2026-01-14,9,2,0,0,128.0,80,234
2,2026-01-15,9,0,0,0,128.0,80,235
2,2026-01-16,7,2,0,0,128.0,80,236
2,2026-01-17,6,1,0,0,128.0,80,237
2,2026-01-18,5,1,0,0,128.0,80,238
2,2026-01-19,3,2,0,0,128.0,80,239
2,2026-01-20,2,1,0,0,128.0,80,240
2,2026-01-21,0,2,0,0,128.0,80,241
2,2026-01-22,0,2,0,0,128.0,80,242
2,2026-01-23,27,1,28,0,128.0,80,243
2,2026-01-24,26,1,0,0,128.0,80,244
2,2026-01-25,25,1,0,0,128.0,80,245
2,2026-01-26,23,2,0,0,128.0,80,246
2,2026-01-27,21,2,0,0,128.0,80,247
2,2026-01-28,19,2,0,0,128.0,80,248
2,2026-01-29,18,1,0,0,128.0,80,249
2,2026-01-30,17,1,0,0,128.0,80,250
2,2026-01-31,16,1,0,0,128.0,80,251
2,2026-02-01,52,1,37,0,128.0,80,252
2,2026-02-02,50,2,0,0,128.0,80,253
2,2026-02-03,48,2,0,0,128.0,80,254
2,2026-02-04,46,2,0,0,128.0,80,255
2,2026-02-05,44,2,0,0,128.0,80,256
2,2026-02-06,41,3,0,0,128.0,80,257
2,2026-02-07,39,2,0,0,128.0,80,258
2,2026-02-08,38,1,0,0,128.0,80,259
2,2026-02-09,37,1,0,0,128.0,80,260
2,2026-02-10,35,2,0,0,128.0,80,261
2,2026-02-11,33,2,0,0,128.0,80,262
2,2026-02-12,31,2,0,0,128.0,80,263
2,2026-02-13,29,2,0,0,128.0,80,264
2,2026-02-14,28,1,0,0,128.0,80,265
2,2026-02-15,28,0,0,0,128.0,80,266
2,2026-02-16,26,2,0,0,128.0,80,267
2,2026-02-17,24,2,0,0,128.0,80,268
2,2026-02-18,22,2,0,0,128.0,80,269
2,2026-02-19,20,2,0,0,128.0,80,270
2,2026-02-20,18,2,0,0,128.0,80,271
2,2026-02-21,18,0,0,0,128.0,80,272
2,2026-02-22,17,1,0,0,128.0,80,273
2,2026-02-23,15,2,0,0,128.0,80,274
2,2026-02-24,55,2,42,0,128.0,80,275
2,2026-02-25,54,1,0,0,128.0,80,276
2,2026-02-26,52,2,0,0,128.0,80,277
2,2026-02-27,51,1,0,0,128.0,80,278
2,2026-02-28,50,1,0,0,128.0,80,279
2,2026-03-01,49,1,0,0,128.0,80,280
2,2026-03-02,47,2,0,0,128.0,80,281
2,2026-03-03,45,2,0,0,128.0,80,282
2,2026-03-04,43,2,0,0,128.0,80,283
2,2026-03-05,41,2,0,0,128.0,80,284
2,2026-03-06,41,0,0,0,128.0,80,285
2,2026-03-07,40,1,0,0,128.0,80,286
2,2026-03-08,39,1,0,0,128.0,80,287
2,2026-03-09,37,2,0,0,128.0,80,288
2,2026-03-10,36,1,0,0,128.0,80,289
2,2026-03-11,35,1,0,0,128.0,80,290
2,2026-03-12,33,2,0,0,128.0,80,291
2,2026-03-13,30,3,0,0,128.0,80,292
2,2026-03-14,29,1,0,0,128.0,80,293
2,2026-03-15,28,1,0,0,128.0,80,294
2,2026-03-16,26,2,0,0,128.0,80,295
2,2026-03-17,24,2,0,0,128.0,80,296
2,2026-03-18,22,2,0,0,128.0,80,297
2,2026-03-19,21,1,0,0,128.0,80,298
2,2026-03-20,19,2,0,0,128.0,80,299
2,2026-03-21,76,2,59,0,128.0,80,300
3,2025-12-22,18,2,0,0,76.72,34,191
3,2025-12-23,15,3,0,0,76.72,34,192
3,2025-12-24,12,3,0,0,76.72,34,193
3,2025-12-25,10,2,0,0,76.72,34,194
