medicine_id,quantity_dispensed,unit_cost_at_time,pay_rate_at_time,profit_per_unit,total_profit,dispensed_at,trade_name,company,category
1,1,82.5,55,-27.5,-27.5,2025-12-22,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2025-12-23,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2025-12-24,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2025-12-25,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2025-12-26,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2025-12-30,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2025-12-31,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-01,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-02,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-05,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-06,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-07,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-08,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-09,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-12,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-14,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-16,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-18,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-19,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-20,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-21,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-22,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-26,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-27,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-29,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-01-30,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-02-03,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-02-04,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-02-05,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-02-06,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
1,1,82.5,55,-27.5,-27.5,2026-02-09,ACETYLCISTEINE 200GM 10SACHETS,SEDICO,SACHETS + GRANULES
