barcode,serial_number,trade_name,active_substance,company_name,quantity_on_hand,reorder_level,max_stock,unit_cost,pay_rate,discount_pct,expiration_date,storage_location,requires_refrigeration,category_temp
10000000001,,ACETYLCISTEINE 200GM 10SACHETS,TBD_Substance,SEDICO,2,10,200,82.50,55,0.00,2027-01-01,,FALSE,SACHETS + GRANULES
10000000002,,ACETYLCYSTEINE VITA C,TBD_Substance,Pharmaoverseas,2,10,200,128.00,80,0.00,2027-01-01,,FALSE,SACHETS + GRANULES
10000000003,,ACHTENON 2MG 20TAB,TBD_Substance,Pharmaoverseas,3,10,200,76.72,34,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000004,,ACNE-STOP 30GM CREAM,TBD_Substance,Mash Pharma,1,10,200,51.00,68,0.00,2027-01-01,,FALSE,Oint-Cream-Gel
10000000005,,ACNIACT 15GM GEL,TBD_Substance,Pharmaoverseas,1,10,200,31.20,39,0.00,2027-01-01,,FALSE,Oint-Cream-Gel
10000000006,,ACRETIN 0.025% 30GM CREAM,TBD_Substance,MULTI-PHARMA,1,10,200,33.44,38,0.00,2027-01-01,,FALSE,Oint-Cream-Gel
10000000007,,ACRETIN 0.05% 30GM CR,TBD_Substance,MULTI-PHARMA,1,10,200,37.84,43,0.00,2027-01-01,,FALSE,Oint-Cream-Gel
10000000008,,ACTI-COLLA ADVANCE 30SH,TBD_Substance,Pharmaoverseas,0,10,200,688.00,860,0.00,2027-01-01,,FALSE,SACHETS + GRANULES
10000000009,,ACTI-FOLIC,TBD_Substance,Pharmaoverseas,0,10,200,29.33,55,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000010,,ACTOMAX SPRAY,TBD_Substance,Pharmaoverseas,4,10,200,476.80,149,0.00,2027-01-01,,FALSE,COSMETIC
10000000011,,ACTRAPID 5PENFILL,TBD_Substance,NOVO (INSULIN),1,10,200,304.20,338,0.00,2027-01-01,,FALSE,Injections-Ampules-Vials
10000000012,,ADENOSIN FORTE 3AMP,TBD_Substance,Pharmaoverseas,3,10,200,57.38,25.5,0.00,2027-01-01,,FALSE,Injections-Ampules-Vials
10000000013,,ADOL 500MG 24TAB,TBD_Substance,IBN SINA,1,10,200,36.00,32,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000014,,ADOLOR 30ML 3AMP,TBD_Substance,UCP,2,10,200,54.00,36,0.00,2027-01-01,,FALSE,Injections-Ampules-Vials
10000000015,,ADWIFLAM 6AMP I.M,TBD_Substance,ADWIA,1,10,200,86.47,72,0.00,2027-01-01,,FALSE,Injections-Ampules-Vials
10000000016,,ADWIFLAM GEL,TBD_Substance,Pharmaoverseas,1,10,200,44.00,55,0.00,2027-01-01,,FALSE,Oint-Cream-Gel
10000000017,,AERIUS 5MG 20TAB,TBD_Substance,Pharmaoverseas,2,10,200,177.00,118,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000018,,AGGREX 75 MG 60 TAB.,TBD_Substance,RAMIDA,2,10,200,57.38,27,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000019,,AGIOLAX GRAN 5GM 12SACH,TBD_Substance,CID,1,10,200,75.08,100,0.00,2027-01-01,,FALSE,SACHETS + GRANULES
10000000020,,AIRONYL 120CC SYR.,TBD_Substance,SEDICO,3,10,200,65.25,29,0.00,2027-01-01,,FALSE,SYRUPS + SUSPENSIONS
10000000021,,ALBOTHYL 8 VAGINAL SUPP,TBD_Substance,MULTI-PHARMA,1,10,200,48.00,64,0.00,2027-01-01,,FALSE,SUPPOSITORIES
10000000022,,ALDOMET 250MG 30TAB.,TBD_Substance,KAHIRA,1,10,200,96.88,111,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000023,,ALERGOLIBER 10MG,TBD_Substance,Pharmaoverseas,0,10,200,24.00,60,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000024,,ALFATHROMB 5MG,TBD_Substance,Pharmaoverseas,1,10,200,105.60,132,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000025,,ALGESAL SUREACTIVE 40GM CREAM,TBD_Substance,CHEMI-PHARM,1,10,200,34.50,46,0.00,2027-01-01,,FALSE,Oint-Cream-Gel
10000000026,,ALKA-MISR 10SACH.,TBD_Substance,MISR,1,10,200,30.05,40,0.00,2027-01-01,,FALSE,SACHETS + GRANULES
10000000027,,ALKAPRESS 5MG 20TAB.,TBD_Substance,ALKAN,4,10,200,196.48,58,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000028,,ALKAPRIDE 50MG,TBD_Substance,Pharmaoverseas,0,10,200,24.00,90,0.00,2027-01-01,,FALSE,TABLETS + CAPSULES
10000000029,,GUAVA 120ML SYR,TBD_Substance,PHP,3,2,200,0.00,55,47.00,2027-01-01,,FALSE,SYRUPS + SUSPENSIONS
10000000030,,VONASPIRE 20MG,TBD_Substance,PHO,4,2.5,200,0.00,0,35.00,2027-01-01,,FALSE,Uncategorized
10000000031,,ERASTAPEX 40MG 30CAP,TBD_Substance,IBN,1,2,200,0.00,0,30.00,2027-01-01,,FALSE,Uncategorized
10000000032,,RABEPRKYL 20MG,TBD_Substance,PHO,1,1.3,200,0.00,0,35.00,2027-01-01,,FALSE,Uncategorized
10000000033,,TREFLUCAN 150MG 1CAP,TBD_Substance,D S,6,4,200,0.00,0,29.00,2027-01-01,,FALSE,Uncategorized
