Cleaned,Source,Price,Form,Company,ActiveIngredient
0 025 capsaicin pain relief patch,fda_ndc,,,,"capsaicin pain relief patch, capsaicin pain relief strip"
0 25 bupivacaine hcl,fda_ndc,,,,0.25% bupivacaine hcl
0 25 phenylephrine hcl hemorrhoidal,fda_ndc,,,,"mineral oil, petrolatum, phenylephrine hydrochloride"
0 5 lidocaine burn relief,fda_ndc,,,,lidocaine hydrochloride
0 5 lidocaine hcl,fda_ndc,,,,0.5% lidocaine hcl
0 9 percent saline solution,fda_ndc,,,,sodium chloride
0 9 percentsaline,fda_ndc,,,,sodium chloride
0 9 saline,fda_ndc,,,,sodium chloride
0 9 sodium chloride,fda_ndc,,,,0.9% sodium chloride
0 9saline,fda_ndc,,,,sodium chloride
1 ketoconazole,fda_ndc,,,,ketoconazole
1 lidocaine hci,fda_ndc,,,,1% lidocaine hci
10 acne med,fda_ndc,,,,benzoyl peroxide
10 armani prima control glow moisturizer sbs spf 35,fda_ndc,,,,"octinoxate, titanium dioxide"
10 azelaic acid acne cream,fda_ndc,,,,10% azelaic acid acne cream
10 methyl salicylate pain relief patch,fda_ndc,,,,10% methyl salicylate
10 tree mix,fda_ndc,,,,"acer negundo pollen, betula nigra pollen, black walnut, carya ovata pollen, fraxinus americana pollen, platanus occidentalis pollen, populus deltoides subsp. monilifera pollen, quercus rubra pollen, salix nigra pollen and ulmus americana pollen"
100 mineral broad spectrum sunscreen spf 30,fda_ndc,,,,"titanium dioxide, zinc oxide"
100 mineral broad spectrum sunscreen spf 50,fda_ndc,,,,"titanium dioxide, zinc oxide"
100 mineral sunscreen,fda_ndc,,,,100% mineral sunscreen
100 pure yerba mate mist spf 30,fda_ndc,,,,zinc oxide
1000 roses cc color plus correct sheer beige spf 30,fda_ndc,,,,zinc oxide
1000 roses cc color plus correct sheer tan spf 30,fda_ndc,,,,zinc oxide
1000 roses daily shade facial spf 18,fda_ndc,,,,"octisalate, octocrylene, and avobenzone"
1012 antimicrobial,fda_ndc,,,,chloroxylenol
11 tree pollen mix,fda_ndc,,,,"fagus grandifolia, platanus occidentalis, ulmus americana, juglans nigra, salix nigra, populus deltoides, quercus rubra, betula nigra, carya ovata, acer saccharum and fraxinus americana"
111 medco benzoyl peroxide,fda_ndc,,,,benzoyl peroxide
111 skin sunscreen spf 50,fda_ndc,,,,zinc oxide
111medco 2 salicylic acid cleansing bar,fda_ndc,,,,salicylic acid
111medco 6 sulfur skin cleansing bar,fda_ndc,,,,sulfur
111medco medicated bar 2 pyrithione zinc,fda_ndc,,,,pyrithione zinc
1168,fda_ndc,,,,1168 burn spray
1177 1178 sunscreen,fda_ndc,,,,"1177, 1178 sunscreen"
12 cell salts complex,fda_ndc,,,,"calcarea fluorica, calcarea phosphorica, calcarea sulphurica, ferrum phosphoricum, kali muriaticum, kali phosphoricum, kali sulphuricum, magnesia phosphorica, natrum muriaticum, natrum phosphoricum, natrum sulphuricum, silicea"
12 hour allergy d,fda_ndc,,,,"cetirizine hydrochloride, pseudoephedrine hydrochloride"
12 hour mucus relief,fda_ndc,,,,guaifenesin
12 hour nasal decongestant,fda_ndc,,,,pseudoephedrine hydrochloride
12 hour nasal decongestant extra moisturizing,fda_ndc,,,,nasal spray
12 hour original nasal decongestant,fda_ndc,,,,nasal spray
12 hr relief cough dm,fda_ndc,,,,dextromethorphan polistirex
12 pack hand sanitizer,fda_ndc,,,,isopropyl alcohol
1236 cs antifungal powder talc free,fda_ndc,,,,1236-ccantifungal powder(talc free)
12hr allergy relief,fda_ndc,,,,fexofenadine hydrochloride
13 5oz 2 in 1 dandruff hair cleanse and conditioner eucalyptus and mint,fda_ndc,,,,pyrithione zinc
13 5oz 2 in 1 dandruff hair cleanse and conditioner shea and cocoa butter,fda_ndc,,,,pyrithione zinc
14 azelaic acid acne,fda_ndc,,,,azelaic acid
1438 dynasoap,fda_ndc,,,,antibacterial hand soap
15 azelaic acid acne cream,fda_ndc,,,,15% azelaic acid acne cream
154 antibacterial liquid hand,fda_ndc,,,,chloroxylenol
1912 herb co easy stomach herb,fda_ndc,,,,"malt, hawthorn"
1912 herb co vital air herb,fda_ndc,,,,"honeysuckle, bellflower, ginseng"
1912herb co heart well herb,fda_ndc,,,,"agrimony, gogi berry, angelica gigas root , licorice , lilyturf"
1912herb co herbal sugar guard,fda_ndc,,,,"yam, margose, taraxacum herb, agastache"
1st medxpatch with lidocaine 4 rx,fda_ndc,,,,"lidocaine, capsaicin, menthol, methyl salicylate"
2 0 lidocaine burn,fda_ndc,,,,lidocaine hydrochloride
2 5 acne med,fda_ndc,,,,benzoyl peroxide
2 5 menthol pain relief,fda_ndc,,,,menthol
2 5oz everdry antiperspirant invisible,fda_ndc,,,,aluminum chlorohydrate gel
2 cockroach mix,fda_ndc,,,,periplaneta americana and blattella germanica
2 in 1 dandruff,fda_ndc,,,,pyrithione zinc
2 lidocaine hci,fda_ndc,,,,2% lidocaine hci
2 maple pollen mix,fda_ndc,,,,acer rubrum and acer saccharum
2 minoxidil hair regrowth foam,fda_ndc,,,,minoxidil
